id;registration_number;full_name_arabic;full_name_latin;email;phone_number;contribution_status;periodic_contribution;contribution_month
1;33772;4th generation;e-business Refined RAM;Jude_Murphy@gmail.com;Savings Account digital parallelism;OK;true;33531
2;75931;synthesize;innovative Home Loan Account;Lauriane26@yahoo.com;Future Security Avon;SUSPENDED;false;25099
3;73483;standardization cyan Personal Loan Account;array Total Assistant;Andreanne89@yahoo.com;EXE Georgia;OK;false;71982
4;19699;payment Sao Tome and Principe;teal deposit SSL;Freeman23@gmail.com;full-range;OK;false;28438
5;32821;Tactics Corner;Reduced User-centric;Arne_Lueilwitz@gmail.com;fuchsia;OVERDUE;false;62745
6;5921;Multi-channelled wireless Iranian Rial;Incredible Synchronised Minnesota;Marcellus_Hettinger@hotmail.com;Small Concrete Soap Face to face;OK;false;66695
7;55375;Aruban Guilder withdrawal;AI value-added next generation;Faye.Romaguera@yahoo.com;dynamic;SUSPENDED;false;26084
8;56814;Human Phased Afghanistan;Concrete;Delpha_Halvorson@hotmail.com;programming Enterprise-wide;OK;false;50862
9;38884;Money Market Account schemas dot-com;Dynamic grey users;Kaylah_Lindgren41@hotmail.com;Intelligent Metal Chicken Gorgeous Metal Bike;OK;true;29487
10;39989;Branding Fundamental;Rubber withdrawal;Tony39@gmail.com;Designer;SUSPENDED;false;87496
